INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
293 Palmeiras/SP Santos/SP semi Ruim Regular true
294 Internacional/RS Santos/SP meio Fantastico Bom false
295 Nautico/PE Santos/SP meio Bom Regular true
296 Ipatinga/MG Santos/SP meio Bom Regular false
297 Sao-Paulo/SP Santos/SP semi-final Bom Regular false
298 Goias/GO Santos/SP semi-final Fantastico Fantastico true
299 Gremio/RS Santos/SP semi-final Bom Regular true
300 Botafogo/RJ Santos/SP semi-final Otimo Bom false
301 Sport/PE Santos/SP final Bom Otimo false
302 Vasco/RJ Santos/SP final Regular Fantastico true
303 Coritiba/PR Santos/SP final Fantastico Fantastico true
304 Atletico/MG Santos/SP final Bom Bom false
305 Atletico/PR Sao-Paulo/SP inicio Bom Ruim false
306 Santos/SP Sao-Paulo/SP inicio Ruim Fantastico false
307 Flamengo/RJ Sao-Paulo/SP inicio Regular Fantastico false
308 Cruzeiro/MG Sao-Paulo/SP semi Ruim Fantastico false
309 Nautico/PE Sao-Paulo/SP semi Otimo Bom true
310 Vitoria/BA Sao-Paulo/SP semi Bom Bom false
311 Internacional/RS Sao-Paulo/SP semi Fantastico Fantastico true
312 Figueirense/SC Sao-Paulo/SP meio Bom Regular false
313 Fluminense/RJ Sao-Paulo/SP meio Bom Bom true
314 Gremio/RS Sao-Paulo/SP meio Otimo Bom true
315 Coritiba/PR Sao-Paulo/SP meio Bom Bom false
316 Atletico/MG Sao-Paulo/SP semi-final Otimo Fantastico false
317 Sport/PE Sao-Paulo/SP semi-final Otimo Fantastico false
318 Ipatinga/MG Sao-Paulo/SP semi-final Bom Bom false
319 Palmeiras/SP Sao-Paulo/SP semi-final Regular Fantastico false
320 Botafogo/RJ Sao-Paulo/SP final Bom Otimo false
321 Portuguesa/SP Sao-Paulo/SP final Bom Otimo false
322 Vasco/RJ Sao-Paulo/SP final Regular Fantastico false
323 Goias/GO Sao-Paulo/SP final Fantastico Fantastico false
324 Botafogo/RJ Sport/PE inicio Bom Ruim true
325 Internacional/RS Sport/PE inicio Otimo Ruim false
326 Figueirense/SC Sport/PE inicio Fantastico Regular true
327 Sao-Paulo/SP Sport/PE inicio Bom Ruim true
328 Vasco/RJ Sport/PE semi Bom Ruim true
329 Nautico/PE Sport/PE semi Ruim Fantastico false
330 Santos/SP Sport/PE semi Bom Ruim true
331 Goias/GO Sport/PE semi Bom Ruim false
332 Atletico/MG Sport/PE meio Otimo Regular true
333 Coritiba/PR Sport/PE meio Fantastico Fantastico true
334 Vitoria/BA Sport/PE meio Bom Regular false
335 Fluminense/RJ Sport/PE meio Bom Regular false
336 Palmeiras/SP Sport/PE semi-final Ruim Otimo false
337 Flamengo/RJ Sport/PE semi-final Otimo Regular true
338 Cruzeiro/MG Sport/PE semi-final Otimo Regular true
339 Gremio/RS Sport/PE final Fantastico Bom true
340 Atletico/PR Sport/PE final Otimo Fantastico true
341 Ipatinga/MG Sport/PE final Otimo Fantastico true
342 Portuguesa/SP Sport/PE final Bom Regular false
343 Internacional/RS Vasco/RJ inicio Fantastico Ruim true
344 Botafogo/RJ Vasco/RJ inicio Otimo Ruim false
345 Cruzeiro/MG Vasco/RJ inicio Bom Ruim true
346 Nautico/PE Vasco/RJ inicio Otimo Bom false
347 Figueirense/SC Vasco/RJ semi Fantastico Bom true
348 Flamengo/RJ Vasco/RJ semi Bom Ruim true
349 Atletico/PR Vasco/RJ semi Bom Ruim true
350 Santos/SP Vasco/RJ semi Bom Ruim true
351 Sao-Paulo/SP Vasco/RJ meio Bom Ruim true
352 Vitoria/BA Vasco/RJ meio Bom Ruim true
353 Portuguesa/SP Vasco/RJ meio Bom Regular false
354 Gremio/RS Vasco/RJ semi-final Otimo Regular true
355 Palmeiras/SP Vasco/RJ semi-final Regular Regular true
356 Ipatinga/MG Vasco/RJ semi-final Bom Ruim true
357 Sport/PE Vasco/RJ semi-final Bom Regular false
358 Goias/GO Vasco/RJ final Regular Bom false
359 Fluminense/RJ Vasco/RJ final Regular Regular false
360 Atletico/MG Vasco/RJ final Otimo Bom true
361 Coritiba/PR Vasco/RJ final Otimo Fantastico false
362 Sport/PE Vitoria/BA inicio Bom Ruim false
363 Ipatinga/MG Vitoria/BA inicio Otimo Ruim true
364 Coritiba/PR Vitoria/BA inicio Bom Ruim false
365 Portuguesa/SP Vitoria/BA semi Otimo Regular false
366 Fluminense/RJ Vitoria/BA semi Regular Regular true
367 Flamengo/RJ Vitoria/BA semi Otimo Regular false
368 Atletico/MG Vitoria/BA semi Otimo Bom true
369 Gremio/RS Vitoria/BA meio Otimo Regular true
370 Palmeiras/SP Vitoria/BA meio Fantastico Fantastico true
371 Cruzeiro/MG Vitoria/BA meio Otimo Regular true
372 Figueirense/SC Vitoria/BA meio Bom Bom false
373 Santos/SP Vitoria/BA semi-final Regular Otimo true
374 Internacional/RS Vitoria/BA semi-final Bom Regular true
375 Goias/GO Vitoria/BA semi-final Otimo Fantastico true
376 Botafogo/RJ Vitoria/BA semi-final Otimo Regular true
377 Sao-Paulo/SP Vitoria/BA final Fantastico Fantastico true
378 Nautico/PE Vitoria/BA final Bom Regular true
379 Atletico/PR Vitoria/BA final Regular Bom true
380 Vasco/RJ Vitoria/BA final Ruim Fantastico false
