381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
258 Nautico/PE Cruzeiro/MG semi Ruim Otimo false
259 Nautico/PE Fluminense/RJ semi Ruim Otimo false
260 Nautico/PE Gremio/RS semi Ruim Otimo false
261 Nautico/PE Palmeiras/SP semi Regular Fantastico false
262 Nautico/PE Atletico/PR semi-final Regular Bom true
263 Nautico/PE Botafogo/RJ semi-final Regular Otimo true
264 Nautico/PE Internacional/RS semi-final Ruim Bom false
265 Nautico/PE Juventude/RS semi-final Bom Regular true
266 Nautico/PE Sport/PE semi-final Regular Regular true
267 Palmeiras/SP Atletico/MG final Bom Bom false
268 Palmeiras/SP Fluminense/RJ final Bom Otimo true
269 Palmeiras/SP Juventude/RS final Bom Regular false
270 Palmeiras/SP Parana/PR final Bom Regular true
271 Palmeiras/SP Atletico/PR inicio Regular Otimo false
272 Palmeiras/SP Botafogo/RJ inicio Regular Fantastico false
273 Palmeiras/SP Cruzeiro/MG inicio Bom Fantastico false
274 Palmeiras/SP Figueirense/SC inicio Fantastico Ruim true
275 Palmeiras/SP Flamengo/RJ meio Bom Otimo true
276 Palmeiras/SP Internacional/RS meio Bom Bom false
277 Palmeiras/SP SaoPaulo/SP meio Regular Fantastico false
278 Palmeiras/SP Sport/PE meio Regular Regular false
279 Palmeiras/SP America/RN semi Bom Bom true
280 Palmeiras/SP Santos/SP semi Regular Bom false
281 Palmeiras/SP Vasco/RJ semi Bom Regular true
282 Palmeiras/SP Corinthians/SP semi-final Bom Bom true
283 Palmeiras/SP Goias/GO semi-final Bom Regular true
284 Palmeiras/SP Gremio/RS semi-final Bom Bom true
285 Palmeiras/SP Nautico/PE semi-final Bom Bom true
286 Parana/PR Goias/GO final Bom Regular true
287 Parana/PR Internacional/RS final Bom Bom true
288 Parana/PR Santos/SP final Bom Bom false
289 Parana/PR Gremio/RS inicio Fantastico Ruim true
290 Parana/PR SaoPaulo/SP inicio Bom Bom false
291 Parana/PR Sport/PE inicio Otimo Ruim true
292 Parana/PR Botafogo/RJ meio Regular Otimo false
293 Parana/PR Cruzeiro/MG meio Regular Otimo false
294 Parana/PR Juventude/RS meio Regular Ruim true
295 Parana/PR Vasco/RJ meio Regular Bom false
296 Parana/PR America/RN semi Bom Otimo false
297 Parana/PR Atletico/MG semi Regular Bom false
298 Parana/PR Atletico/PR semi Bom Fantastico false
