inst time_1 time_2 tempo_partida rendimento 
292 Santos/SP Portuguesa/SP semi-final Fantastico 
293 Santos/SP Palmeiras/SP final Fantastico 
294 Santos/SP Internacional/RS final Fantastico 
295 Santos/SP Botafogo/RJ semi Fantastico 
296 Santos/SP Atletico/MG meio Fantastico 
297 Santos/SP Flamengo/RJ meio Fantastico 
298 Santos/SP Cruzeiro/MG meio Fantastico 
299 Santos/SP Vitoria/BA semi-final Fantastico 
300 Santos/SP Fluminense/RJ semi-final Fantastico 
301 Santos/SP Figueirense/SC final Fantastico 
302 Santos/SP Ipatinga/MG inicio Fantastico 
303 Santos/SP Atletico/PR semi-final Fantastico 
304 Santos/SP Vasco/RJ semi Fantastico 
305 Sao-Paulo/SP Gremio/RS inicio Fantastico 
306 Sao-Paulo/SP Santos/SP semi-final Fantastico 
307 Sao-Paulo/SP Coritiba/PR inicio Fantastico 
308 Sao-Paulo/SP Sport/PE inicio Fantastico 
309 Sao-Paulo/SP Ipatinga/MG semi Fantastico 
310 Sao-Paulo/SP Nautico/PE semi-final Fantastico 
311 Sao-Paulo/SP Fluminense/RJ final Fantastico 
312 Sao-Paulo/SP Palmeiras/SP semi Fantastico 
313 Sao-Paulo/SP Botafogo/RJ semi Fantastico 
314 Sao-Paulo/SP Goias/GO meio Fantastico 
315 Sao-Paulo/SP Flamengo/RJ semi-final Fantastico 
316 Sao-Paulo/SP Cruzeiro/MG semi-final Fantastico 
317 Sao-Paulo/SP Vitoria/BA final Fantastico 
318 Sao-Paulo/SP Portuguesa/SP semi Fantastico 
319 Sao-Paulo/SP Atletico/PR meio Fantastico 
320 Sao-Paulo/SP Internacional/RS final Fantastico 
321 Sao-Paulo/SP Figueirense/SC final Fantastico 
322 Sao-Paulo/SP Vasco/RJ meio Fantastico 
323 Sao-Paulo/SP Atletico/MG inicio Fantastico 
324 Sport/PE Vitoria/BA inicio Fantastico 
325 Sport/PE Botafogo/RJ meio Fantastico 
326 Sport/PE Sao-Paulo/SP semi-final Fantastico 
327 Sport/PE Flamengo/RJ semi Fantastico 
328 Sport/PE Cruzeiro/MG semi Fantastico 
329 Sport/PE Atletico/PR semi Fantastico 
330 Sport/PE Internacional/RS semi-final Fantastico 
331 Sport/PE Santos/SP final Fantastico 
332 Sport/PE Fluminense/RJ inicio Fantastico 
333 Sport/PE Palmeiras/SP inicio Fantastico 
334 Sport/PE Gremio/RS semi Fantastico 
335 Sport/PE Portuguesa/SP meio Fantastico 
336 Sport/PE Vasco/RJ semi-final Fantastico 
337 Sport/PE Nautico/PE semi-final Fantastico 
338 Sport/PE Goias/GO final Fantastico 
339 Sport/PE Ipatinga/MG meio Fantastico 
340 Sport/PE Atletico/MG final Otimo 
341 Sport/PE Coritiba/PR final Fantastico 
342 Sport/PE Figueirense/SC semi-final Fantastico 
343 Vasco/RJ Palmeiras/SP inicio Fantastico 
344 Vasco/RJ Coritiba/PR meio Fantastico 
345 Vasco/RJ Flamengo/RJ semi-final Fantastico 
346 Vasco/RJ Vitoria/BA final Fantastico 
347 Vasco/RJ Goias/GO semi Fantastico 
348 Vasco/RJ Botafogo/RJ meio Fantastico 
349 Vasco/RJ Cruzeiro/MG semi-final Fantastico 
350 Vasco/RJ Nautico/PE semi-final Fantastico 
351 Vasco/RJ Santos/SP final Fantastico 
