381 6
inst time_1 time_2 tempo_partida rendimento resultado
336 SaoPaulo/SP Santos/SP semi-final Otimo true
337 SaoPaulo/SP Figueirense/SC semi-final Otimo true
338 SaoPaulo/SP Corinthians/SP semi-final Otimo false
339 SaoPaulo/SP Cruzeiro/MG final Otimo true
340 SaoPaulo/SP America/RN final Otimo true
341 SaoPaulo/SP Gremio/RS final Otimo true
342 SaoPaulo/SP Botafogo/RJ final Otimo false
343 Sport/PE Santos/SP inicio Fantastico true
344 Sport/PE Flamengo/RJ inicio Bom false
345 Sport/PE America/RN inicio Regular false
346 Sport/PE Corinthians/SP semi Bom true
347 Sport/PE Nautico/PE semi Otimo true
348 Sport/PE Atletico/MG semi Otimo true
349 Sport/PE Botafogo/RJ semi Bom false
350 Sport/PE Internacional/RS semi Bom false
351 Sport/PE Atletico/PR meio Bom true
352 Sport/PE Juventude/RS meio Otimo true
353 Sport/PE Vasco/RJ meio Bom false
354 Sport/PE Gremio/RS meio Bom true
355 Sport/PE Fluminense/RJ semi-final Bom false
356 Sport/PE Parana/PR semi-final Bom true
357 Sport/PE Goias/GO semi-final Otimo true
358 Sport/PE Figueirense/SC final Bom false
359 Sport/PE SaoPaulo/SP final Bom false
360 Sport/PE Palmeiras/SP final Bom true
361 Sport/PE Cruzeiro/MG final Bom true
362 Vasco/RJ Sport/PE inicio Fantastico true
363 Vasco/RJ Fluminense/RJ inicio Bom false
364 Vasco/RJ Gremio/RS inicio Otimo true
365 Vasco/RJ Santos/SP semi Otimo true
366 Vasco/RJ Atletico/PR semi Fantastico true
367 Vasco/RJ Atletico/MG semi Fantastico true
368 Vasco/RJ Goias/GO semi Fantastico true
369 Vasco/RJ Figueirense/SC meio Otimo false
370 Vasco/RJ Corinthians/SP meio Otimo true
371 Vasco/RJ America/RN meio Fantastico true
372 Vasco/RJ Nautico/PE meio Fantastico true
373 Vasco/RJ SaoPaulo/SP semi-final Otimo false
374 Vasco/RJ Cruzeiro/MG semi-final Otimo false
375 Vasco/RJ Juventude/RS semi-final Otimo false
376 Vasco/RJ Botafogo/RJ semi-final Otimo true
377 Vasco/RJ Flamengo/RJ final Otimo false
378 Vasco/RJ Palmeiras/SP final Bom false
379 Vasco/RJ Internacional/RS final Bom false
380 Vasco/RJ Parana/PR final Bom true
